No. of crab,Carapace Width Before (cm),Carapace Width After (cm),Size of Increment (cm),Body Weight Before (g),Body Weight After (g),Size of Increment (g)
1,7.71,8.91,1.2,103.7,110.5,6.8
2,6.81,7.49,0.68,62.5,69.8,7.3
3,7.11,8.02,0.91,79.1,88.3,9.2
4,7.61,8.65,1.04,78.5,86.7,8.2
5,6.74,7.35,0.61,60.3,68.7,8.4
6,7.74,8.35,0.61,68.9,78.4,9.5
7,8.33,9.37,1.04,86.7,96.4,9.7
8,9.02,10.56,1.54,102.6,110.8,8.2
9,6.92,7.61,0.69,75.6,84.3,8.7
10,7.74,8.44,0.7,80.3,89.7,9.4
11,7.76,8.47,0.71,75.1,83.6,8.5
12,7.04,7.57,0.53,68.3,79.9,11.6
13,8.14,9.33,1.19,98.8,110.5,11.7
14,7.19,7.95,0.76,79.6,86.5,6.9
15,8.14,9.33,1.19,90.5,99.6,9.1
16,7.47,8.17,0.7,79.4,84.6,5.2
17,7.59,8.28,0.69,86.3,94.7,8.4
18,7.39,7.82,0.43,69.6,78.6,9
19,6.85,7.59,0.74,68.3,79.4,11.1
20,7.66,8.34,0.68,85.9,98.4,12.5
21,7.86,9.35,1.49,102.2,121.2,19
22,6.81,7.13,0.32,67.9,75.4,7.5
23,7.54,8.63,1.09,78.3,84.7,6.4
24,7.17,7.98,0.81,71.9,79.4,7.5
25,6.42,7.56,1.14,57.3,69.9,12.6
26,6.44,7.45,1.01,51.8,63.8,12
27,7.95,8.96,1.01,67.7,76.8,9.1
28,6.68,7.32,0.64,55.1,67.9,12.8
29,6.98,7.76,0.78,69.4,80.3,10.9
30,7.17,8.34,1.17,72.9,83.4,10.5
31,6.45,7.38,0.93,52,63.7,11.7
32,6.56,7.31,0.75,54.1,63.7,9.6
33,6.19,7.06,0.87,44.3,52.8,8.5
34,7.27,8.07,0.8,77,85.7,8.7
35,6.85,7.64,0.79,66.1,75.9,9.8
36,6.59,7.31,0.72,57.1,65.6,8.5
37,7.86,8.54,0.68,63.8,71.5,7.7
38,6.84,7.96,1.12,65.5,76.3,10.8
39,6.88,7.56,0.68,63.4,75.1,11.7
40,6.33,6.92,0.59,51.2,56.5,5.3
41,6.52,7.42,0.9,51.6,57.4,5.8
42,7.61,8.76,1.15,77.3,86.9,9.6
43,7.75,8.41,0.66,95.4,101.2,5.8
44,8.73,9.52,0.79,136.8,148.8,12
45,8.76,9.45,0.69,115.8,128.5,12.7
46,8.21,9.18,0.97,109.6,124.3,14.7
47,8.11,8.41,0.3,98.6,101.2,2.6
48,7.12,8.35,1.23,65.4,70.8,5.4
49,8.12,9.52,1.4,139.8,148.8,9
50,7.71,8.55,0.84,107.8,111,3.2
51,7.81,8.63,0.82,76.9,88.3,11.4
52,7.9,8.01,0.11,68.3,79.7,11.4
53,5.9,6.97,1.07,50.6,60.4,9.8
54,6.81,6.93,0.12,48.6,56.8,8.2
55,8.61,9.66,1.05,114.7,126.5,11.8
56,6.85,7.59,0.74,75.3,84.3,9
57,5.95,6.56,0.61,64.2,69.7,5.5
58,9.09,9.79,0.7,88.5,97.8,9.3
59,8.63,9.22,0.59,76.1,85.3,9.2
60,6.26,6.91,0.65,75.4,80.6,5.2
61,7.91,8.52,0.61,73.4,79.6,6.2
62,5.92,6.82,0.9,58.9,64.9,6
63,8.28,8.92,0.64,86.7,94.3,7.6
64,5.85,6.63,0.78,63.2,68.5,5.3
65,5.53,6.06,0.53,59.6,68.7,9.1
66,5.45,6.09,0.64,58.5,71.3,12.8
67,9.56,10.24,0.68,91.4,101.3,9.9
68,5.72,6.28,0.56,65.2,71.3,6.1
69,6.52,7.13,0.61,64.1,71.4,7.3
70,6.41,7.14,0.73,64.6,73.1,8.5
71,9.2,9.52,0.32,92.3,95.6,3.3
72,7.07,7.52,0.45,84.1,89.6,5.5
73,6.36,6.63,0.27,64.8,73.8,9
74,8.44,8.95,0.51,75.4,81.2,5.8
75,9.15,9.74,0.59,98.6,107.4,8.8
76,7.91,8.84,0.93,69.7,76.3,6.6
77,6.56,7.28,0.72,59.6,71.4,11.8
78,5.85,6.56,0.71,55.8,67.2,11.4
79,8.26,9.02,0.76,75.1,79.5,4.4
80,8.52,9.44,0.92,76.3,88.1,11.8
81,8.15,8.86,0.71,70.5,76.8,6.3
82,7.36,8.55,1.19,66.5,73.3,6.8
83,7.52,7.78,0.26,67.4,76.1,8.7
84,8.48,9.64,1.16,68.9,77.4,8.5
85,7.32,8.27,0.95,57.8,68.5,10.7
86,7.47,8.14,0.67,58.3,64.7,6.4
87,7.82,8.74,0.92,60.3,67.1,6.8
88,7.08,7.69,0.61,56.4,61.7,5.3
89,7.24,8.58,1.34,57.1,61.2,4.1
90,8.15,8.77,0.62,71.5,77.8,6.3
91,8.07,9.21,1.14,65.3,69.8,4.5
92,7.77,8.84,1.07,59.8,64.6,4.8
93,7.33,8.02,0.69,58.2,63.1,4.9
94,6.83,7.85,1.02,55.8,67.2,11.4
95,7.32,8.39,1.07,61.7,68.5,6.8
96,6.76,7.35,0.59,56.9,61.6,4.7
97,7.53,8.42,0.89,60.7,67.9,7.2
98,7.63,8.56,0.93,61.8,68.1,6.3
99,7.49,7.95,0.46,59.6,65.3,5.7
100,7.68,8.09,0.41,61.8,66.7,4.9
101,7.76,8.59,0.83,64.3,71.2,6.9
102,8.58,9.54,0.96,72.4,81.2,8.8
103,7.93,8.82,0.89,65.3,69.6,4.3
104,7.84,8.49,0.65,63.1,69.8,6.7
105,7.14,8.24,1.1,60.8,68.5,7.7
106,7.84,8.98,1.14,72.9,83.6,10.7
107,7.83,8.54,0.71,70.6,79.5,8.9
108,7.93,8.98,1.05,75.4,85.2,9.8
109,7.24,8.36,1.12,68.9,77.9,9
110,7.26,7.75,0.49,69.7,76.5,6.8
111,7.74,8.33,0.59,70.8,77.3,6.5
112,7.35,8.07,0.72,69.8,74.3,4.5
113,7.13,7.83,0.7,66.4,75.1,8.7
114,7.68,8.38,0.7,74.3,83.1,8.8
115,7.07,7.73,0.66,66.7,71.8,5.1
116,7.44,8.22,0.78,69.5,76.3,6.8
117,8.44,9.35,0.91,79.6,87.9,8.3
118,8.05,9.26,1.21,77.8,88.4,10.6
119,8.87,9.84,0.97,88.3,92.1,3.8
120,7.16,7.95,0.79,68.3,74.8,6.5
121,6.27,6.65,0.38,59.7,68.3,8.6
122,6.63,7.39,0.76,68.1,78.9,10.8
123,6.56,7.29,0.73,67.1,71.7,4.6
124,7.86,8.48,0.62,75.9,79.9,4
125,8.26,9.43,1.17,69.6,78.9,9.3
126,7.69,8.66,0.97,73.2,84.3,11.1
127,7.84,8.78,0.94,68.3,76.9,8.6
128,8.05,8.68,0.63,73.2,85.1,11.9
129,8.39,9.44,1.05,72.4,83.3,10.9
130,7.61,8.61,1,66.7,78.1,11.4
131,7.62,8.55,0.93,68.9,76.3,7.4
132,8.9,9.9,1,76.9,89.3,12.4
133,8.35,9.44,1.09,63.2,75.1,11.9
134,7.43,8.82,1.39,65.2,75.1,9.9
135,8.67,10.17,1.5,77.8,89.2,11.4
